0 Iteration 2 3 Val_acc 5 6 Train_loss 8 9 10 11 12 13
Iteration 0. Val. acc: 0.30, Train loss: 2.39, Val. loss: 2.40
Iteration 1000. Val. acc: 0.51, Train loss: 1.46, Val. loss: 1.47
Iteration 2000. Val. acc: 0.60, Train loss: 1.22, Val. loss: 1.24
Iteration 3000. Val. acc: 0.65, Train loss: 1.10, Val. loss: 1.12
Iteration 4000. Val. acc: 0.67, Train loss: 1.03, Val. loss: 1.06
Iteration 5000. Val. acc: 0.67, Train loss: 1.00, Val. loss: 1.04
Iteration 6000. Val. acc: 0.71, Train loss: 0.91, Val. loss: 0.96
Iteration 7000. Val. acc: 0.71, Train loss: 0.88, Val. loss: 0.95
Iteration 8000. Val. acc: 0.71, Train loss: 0.88, Val. loss: 0.95
Iteration 9000. Val. acc: 0.72, Train loss: 0.84, Val. loss: 0.91
Iteration 10000. Val. acc: 0.73, Train loss: 0.81, Val. loss: 0.89
Iteration 11000. Val. acc: 0.74, Train loss: 0.78, Val. loss: 0.87
Iteration 12000. Val. acc: 0.75, Train loss: 0.75, Val. loss: 0.84
Iteration 13000. Val. acc: 0.76, Train loss: 0.74, Val. loss: 0.83
Iteration 14000. Val. acc: 0.75, Train loss: 0.74, Val. loss: 0.85
Iteration 15000. Val. acc: 0.75, Train loss: 0.72, Val. loss: 0.84
Iteration 16000. Val. acc: 0.76, Train loss: 0.69, Val. loss: 0.83
Iteration 17000. Val. acc: 0.75, Train loss: 0.71, Val. loss: 0.84
Iteration 18000. Val. acc: 0.76, Train loss: 0.70, Val. loss: 0.84
Iteration 19000. Val. acc: 0.76, Train loss: 0.68, Val. loss: 0.83
Iteration 20000. Val. acc: 0.76, Train loss: 0.66, Val. loss: 0.82
Iteration 21000. Val. acc: 0.77, Train loss: 0.65, Val. loss: 0.81
Iteration 22000. Val. acc: 0.77, Train loss: 0.63, Val. loss: 0.80
Iteration 23000. Val. acc: 0.77, Train loss: 0.64, Val. loss: 0.81
Iteration 24000. Val. acc: 0.77, Train loss: 0.63, Val. loss: 0.81
Iteration 25000. Val. acc: 0.76, Train loss: 0.61, Val. loss: 0.81
Iteration 26000. Val. acc: 0.76, Train loss: 0.63, Val. loss: 0.83
Iteration 27000. Val. acc: 0.77, Train loss: 0.62, Val. loss: 0.82
Iteration 28000. Val. acc: 0.77, Train loss: 0.62, Val. loss: 0.83
Iteration 29000. Val. acc: 0.76, Train loss: 0.60, Val. loss: 0.83
Iteration 30000. Val. acc: 0.77, Train loss: 0.59, Val. loss: 0.82
Iteration 31000. Val. acc: 0.77, Train loss: 0.58, Val. loss: 0.81
Iteration 32000. Val. acc: 0.77, Train loss: 0.56, Val. loss: 0.79
Iteration 33000. Val. acc: 0.77, Train loss: 0.57, Val. loss: 0.82
Iteration 34000. Val. acc: 0.77, Train loss: 0.56, Val. loss: 0.83
Iteration 35000. Val. acc: 0.76, Train loss: 0.58, Val. loss: 0.84
Iteration 36000. Val. acc: 0.78, Train loss: 0.53, Val. loss: 0.80
Iteration 37000. Val. acc: 0.77, Train loss: 0.57, Val. loss: 0.84
Iteration 38000. Val. acc: 0.76, Train loss: 0.55, Val. loss: 0.86
